mpid	WELLNO	NTERVL_TYP	NTERVL_NUM	NTERVL_TOP	NTERVL_BOT	SCREEN_SIZ	AQ1	CU1	AQ2	CU2	AQ3	CU3	AQ4	CU4	AQ5	CU5	AQ6	CU6	AQ7	CU7	AQ8	CU8	AQ9L	CU9L	AQ9M	CU9M	AQ9U	CU9U	AQ10	DIAMETER	INT_COMNT	NEW_INTERVAL	IUPDATE	IUPDATEBY
375256075332301	100-00012	S	2	158	173		f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	t	f	f		11/5/03, vpn, updated from GW-2, aq pick by tsb from geophysical log. 10-31-03, bjq, Interval retrieved from STORET		2003-11-05 00:00:00	
375256075332301	100-00012	S	3	205	215		f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	t	f	f	f	f		11/5/03, vpn, updated from GW-2, aq pick by tsb from geophysical log. 10-31-03, bjq, Interval retrieved from STORET		2003-11-05 00:00:00	
375256075332301	100-00012	S	4	219	229		f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	t	f	f	f	f		11/5/03, vpn, updated from GW-2, aq pick by tsb from geophysical log. 10-31-03, bjq, Interval retrieved from STORET		2003-11-05 00:00:00	
375256075332301	100-00012	S	5	240	250		f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	t	f	f	f	f	6	11/5/03, vpn,  from GW-2, aq pick by tsb from geophysical log.		2003-11-05 00:00:00	
375256075332301	100-00012	S	6	274	289		f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	t	f	f	f	f	f	f	6	11/5/03, vpn,  from GW-2, aq pick by tsb from geophysical log.		2003-11-05 00:00:00	
375304075333202	100-00011	C	1	0	198		f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	8	10-31-03, bjq, Interval retrieved from STORET		2003-10-31 00:00:00	
375304075333202	100-00011	C	2	198	200		f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	6	10-31-03, bjq, Interval retrieved from STORET		2003-10-31 00:00:00	
375304075333202	100-00011	C	3	212	216		f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	8	11/5/03, vpn, updated from GW-2.  10-31-03, bjq, Interval retrieved from STORET		2003-11-05 00:00:00	
375304075333202	100-00011	C	4	224	234		f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	6	11/5/03, vpn, updated from GW-2.		2003-11-05 00:00:00	
375304075333202	100-00011	C	5	262	273		f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	6	11/5/03, vpn, updated from GW-2.		2003-11-05 00:00:00	
375304075333202	100-00011	C	6	288	295		f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	6	11/5/03, vpn, updated from GW-2.		2003-11-05 00:00:00	
375304075333202	100-00011	G	1	0	74		f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f		10-31-03, bjq, Interval retrieved from STORET.  Grout.		2003-10-31 00:00:00	
375304075333202	100-00011	H	1	0	74		f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	22	11/5/03, vpn, updated from GW-2.  10-31-03, bjq, Interval retrieved from STORET		2003-11-05 00:00:00	
375304075333202	100-00011	H	2	74	297		f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	17	11/5/03, vpn, updated from GW-2.  10-31-03, bjq, Interval retrieved from STORET		2003-11-05 00:00:00	
375304075333202	100-00011	H	3	297	325		f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	10	11/5/03, vpn, updated from GW-2.  10-31-03, bjq, Interval retrieved from STORET		2003-11-05 00:00:00	
375304075333202	100-00011	S	1	138	146		f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	t	f	f	8	11/5/03, vpn, updated from GW-2, aq pick by tsb from geophysical log. 10-31-03, bjq, Interval retrieved from STORET		2003-11-05 00:00:00	
375304075333202	100-00011	S	2	157	171		f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	t	f	f	8	11/5/03, vpn, updated from GW-2, aq pick by tsb from geophysical log. 10-31-03, bjq, Interval retrieved from STORET		2003-11-05 00:00:00	
375304075333202	100-00011	S	3	200	212		f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	t	f	f	f	f	6	11/5/03, vpn, updated from GW-2, aq pick by tsb from geophysical log. 10-31-03, bjq, Interval retrieved from STORET		2003-11-05 00:00:00	
375304075333202	100-00011	S	4	216	224		f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	t	f	f	f	f	6	11/5/03, vpn, updated from GW-2, aq pick by tsb from geophysical log. 10-31-03, bjq, Interval retrieved from STORET		2003-11-05 00:00:00	
375304075333202	100-00011	S	5	234	242		f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	t	f	f	f	f	6	11/5/03, vpn, updated from GW-2, aq pick by tsb from geophysical log.		2003-11-05 00:00:00	
375304075333202	100-00011	S	6	273	288		f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	t	f	f	f	f	f	f	8	11/5/03, vpn, updated from GW-2, aq pick by tsb from geophysical log.		2003-11-05 00:00:00	
375304075333202	100-00011	C	1	0	198		f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	8	10-31-03, bjq, Interval retrieved from STORET		2003-10-31 00:00:00	
375304075333202	100-00011	C	2	198	200		f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	6	10-31-03, bjq, Interval retrieved from STORET		2003-10-31 00:00:00	
375304075333202	100-00011	C	3	212	216		f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	8	11/5/03, vpn, updated from GW-2.  10-31-03, bjq, Interval retrieved from STORET		2003-11-05 00:00:00	
375304075333202	100-00011	C	4	224	234		f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	6	11/5/03, vpn, updated from GW-2.		2003-11-05 00:00:00	
375304075333202	100-00011	C	5	262	273		f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	6	11/5/03, vpn, updated from GW-2.		2003-11-05 00:00:00	
375304075333202	100-00011	C	6	288	295		f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	6	11/5/03, vpn, updated from GW-2.		2003-11-05 00:00:00	
375304075333202	100-00011	G	1	0	74		f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f		10-31-03, bjq, Interval retrieved from STORET.  Grout.		2003-10-31 00:00:00	
375304075333202	100-00011	H	1	0	74		f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	22	11/5/03, vpn, updated from GW-2.  10-31-03, bjq, Interval retrieved from STORET		2003-11-05 00:00:00	
375304075333202	100-00011	H	2	74	297		f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	17	11/5/03, vpn, updated from GW-2.  10-31-03, bjq, Interval retrieved from STORET		2003-11-05 00:00:00	
375304075333202	100-00011	H	3	297	325		f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	10	11/5/03, vpn, updated from GW-2.  10-31-03, bjq, Interval retrieved from STORET		2003-11-05 00:00:00	
375304075333202	100-00011	S	1	138	146		f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	t	f	f	8	11/5/03, vpn, updated from GW-2, aq pick by tsb from geophysical log. 10-31-03, bjq, Interval retrieved from STORET		2003-11-05 00:00:00	
375304075333202	100-00011	S	2	157	171		f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	t	f	f	8	11/5/03, vpn, updated from GW-2, aq pick by tsb from geophysical log. 10-31-03, bjq, Interval retrieved from STORET		2003-11-05 00:00:00	
375304075333202	100-00011	S	3	200	212		f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	t	f	f	f	f	6	11/5/03, vpn, updated from GW-2, aq pick by tsb from geophysical log. 10-31-03, bjq, Interval retrieved from STORET		2003-11-05 00:00:00	
