mpid	wkt	tot_depth	elev	aq
374233075443001	POINT(-75.7416666666667 37.7091666666667)	282	5	1
374537075400401	POINT(-75.6676666666667 37.7602222222222)	294	34	2
375538075330200	POINT(-75.5505555555555 37.9272222222222)	451	31	3
373600075463800	POINT(-75.7777777777778 37.5997222222222)	460	44	1
375318075334404	POINT( -75.56275 37.8893055555556 )	292	40	1
375311075333903	MULTIPOINT(-75.5603333333333 37.8871388888889)	293	42	5
375304075333202	MULTIPOINT(-75.5589722222222 37.8845277777778)	325	43	8
375256075332301	MULTIPOINT(-75.557 37.8823888888889)	294	43	9M
374705075390100	MULTIPOINT(-75.6503888888889 37.78475)	74	40	9L
374706075390000	MULTIPOINT( -75.6500555555556 37.7850555555556 )	85	40	9U
